VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
1,2022-10-01T05:33:41.000+05:30,2022-10-01T05:48:39.000+05:30,1.0,1.7,1.0,N,249,107,1,9.5,3.0,0.5,2.65,0.0,0.3,15.95,2.5,0.0
2,2022-10-01T05:44:30.000+05:30,2022-10-01T05:49:48.000+05:30,2.0,0.72,1.0,N,151,238,2,5.5,0.5,0.5,0.0,0.0,0.3,9.3,2.5,0.0
2,2022-10-01T05:57:13.000+05:30,2022-10-01T06:07:41.000+05:30,1.0,1.74,1.0,N,238,166,1,9.0,0.5,0.5,2.06,0.0,0.3,12.36,0.0,0.0
1,2022-10-01T06:02:53.000+05:30,2022-10-01T06:08:55.000+05:30,0.0,1.3,1.0,N,142,239,1,6.5,3.0,0.5,2.05,0.0,0.3,12.35,2.5,0.0
1,2022-10-01T06:14:55.000+05:30,2022-10-01T06:20:21.000+05:30,0.0,1.0,1.0,N,238,166,1,6.0,0.5,0.5,1.8,0.0,0.3,9.1,0.0,0.0
1,2022-10-01T05:52:52.000+05:30,2022-10-01T06:22:14.000+05:30,1.0,6.8,1.0,Y,186,41,2,25.5,3.0,0.5,0.0,0.0,0.3,29.3,2.5,0.0
2,2022-10-01T06:03:19.000+05:30,2022-10-01T06:14:51.000+05:30,3.0,1.88,1.0,N,162,145,2,10.5,0.5,0.5,0.0,0.0,0.3,14.3,2.5,0.0
1,2022-10-01T05:32:42.000+05:30,2022-10-01T06:20:01.000+05:30,1.0,12.2,1.0,N,100,22,1,41.0,3.0,0.5,3.0,0.0,0.3,47.8,2.5,0.0
2,2022-10-01T05:36:35.000+05:30,2022-10-01T05:54:38.000+05:30,1.0,7.79,1.0,N,138,112,1,23.5,0.5,0.5,4.96,0.0,0.3,31.01,0.0,1.25
2,2022-10-01T05:59:25.000+05:30,2022-10-01T06:13:15.000+05:30,1.0,4.72,1.0,N,145,75,1,14.5,0.5,0.5,1.5,0.0,0.3,19.8,2.5,0.0
1,2022-10-01T05:31:55.000+05:30,2022-10-01T05:50:16.000+05:30,1.0,8.8,1.0,N,138,236,1,26.0,4.25,0.5,5.64,6.55,0.3,43.24,2.5,1.25
1,2022-10-01T05:57:48.000+05:30,2022-10-01T06:29:50.000+05:30,1.0,8.6,1.0,N,140,36,1,29.5,3.0,0.5,6.0,0.0,0.3,39.3,2.5,0.0
1,2022-10-01T05:35:27.000+05:30,2022-10-01T06:05:33.000+05:30,4.0,12.0,1.0,N,70,230,2,36.5,3.0,0.5,0.0,6.55,0.3,46.85,2.5,0.0
